#  Calculate SDE 
#
#  Mon Jan 10 09:47:51 2022
#
# config used
# NIST calibration factor: 1.0065+/-0.0014
# counts_expected: '234135.03043267524'
# counts_expected_std_err: '509.4072385752968'
# input_file: 07_34_maxpol_1525nm.dat
# input_file_sha1hash: 7739c535b1b2303378215a78d7b5a5113c0c8c1a
# nonlinear_yaml: 13_21_console_nonlinear_1525nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 0bf7679e53818d9121c9a7f03bc635d81221446e
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 10_09_console_switch_cal_1525nm.dat
# switch_file_sha1hash: 70b3b9463a06c1838d76909d4599e50c9d4396be
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000001, 0.000004
0.3300, 0.000024, 0.000014
0.3400, 0.000257, 0.000058
0.3500, 0.002054, 0.000149
0.3600, 0.011877, 0.000330
0.3700, 0.046447, 0.000647
0.3800, 0.128888, 0.001219
0.3900, 0.264812, 0.001780
0.4000, 0.427001, 0.002260
0.4100, 0.574169, 0.002591
0.4200, 0.682140, 0.002555
0.4300, 0.755507, 0.002905
0.4400, 0.805382, 0.003235
0.4500, 0.838704, 0.003021
0.4600, 0.861269, 0.003355
0.4700, 0.876262, 0.003673
0.4800, 0.884350, 0.003431
0.4900, 0.893252, 0.003149
0.5000, 0.897967, 0.003046
0.5100, 0.901111, 0.003243
0.5200, 0.902538, 0.003285
0.5300, 0.905469, 0.003748
