#  Calculate SDE 
#
#  Mon Jan 10 09:47:51 2022
#
# config used
# NIST calibration factor: 1.0065+/-0.0014
# counts_expected: '234135.03043267524'
# counts_expected_std_err: '509.4072385752968'
# input_file: 07_34_minpol_1525nm.dat
# input_file_sha1hash: f06fb95a2a732f420d47834d91449f2378162656
# nonlinear_yaml: 13_21_console_nonlinear_1525nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 0bf7679e53818d9121c9a7f03bc635d81221446e
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 10_09_console_switch_cal_1525nm.dat
# switch_file_sha1hash: 70b3b9463a06c1838d76909d4599e50c9d4396be
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000001, 0.000003
0.3300, 0.000031, 0.000018
0.3400, 0.000261, 0.000050
0.3500, 0.002149, 0.000140
0.3600, 0.011917, 0.000281
0.3700, 0.046288, 0.000684
0.3800, 0.129491, 0.001368
0.3900, 0.264443, 0.001702
0.4000, 0.426010, 0.001817
0.4100, 0.572555, 0.002566
0.4200, 0.680245, 0.002501
0.4300, 0.752408, 0.002632
0.4400, 0.801411, 0.003162
0.4500, 0.834336, 0.002967
0.4600, 0.856537, 0.002938
0.4700, 0.870707, 0.003256
0.4800, 0.881209, 0.002940
0.4900, 0.888645, 0.003067
0.5000, 0.892633, 0.002915
0.5100, 0.898201, 0.003099
0.5200, 0.898840, 0.003291
0.5300, 0.901588, 0.003512
