#  Calculate SDE 
#
#  Mon Jan 10 09:47:50 2022
#
# config used
# NIST calibration factor: 1.0130+/-0.0014
# counts_expected: '352193.52591175406'
# counts_expected_std_err: '1059.8191232266522'
# input_file: 21_30_maxpol_1575nm.dat
# input_file_sha1hash: 5bec77adb9e3fdac0e450d947bef291e10d21559
# nonlinear_yaml: 11_03_console_nonlinear_1575nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 10ef5ae518deec9b38c196263ff0dcef66c43967
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 16_51_console_switch_cal_1575nm.dat
# switch_file_sha1hash: 5e8d132c1fab83a4dc80b317012926ee30c148ca
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000001, 0.000003
0.3300, 0.000018, 0.000009
0.3400, 0.000190, 0.000028
0.3500, 0.001663, 0.000089
0.3600, 0.010895, 0.000299
0.3700, 0.048563, 0.000615
0.3800, 0.138495, 0.000962
0.3900, 0.276699, 0.001450
0.4000, 0.427870, 0.001881
0.4100, 0.560172, 0.002222
0.4200, 0.662050, 0.002567
0.4300, 0.736765, 0.002813
0.4400, 0.793008, 0.003345
0.4500, 0.833092, 0.003099
0.4600, 0.861090, 0.003360
0.4700, 0.881193, 0.003255
0.4800, 0.896111, 0.003620
0.4900, 0.906662, 0.003555
0.5000, 0.913403, 0.003534
0.5100, 0.918992, 0.003525
0.5200, 0.921592, 0.003507
