#  Calculate SDE 
#
#  Mon Jan 10 09:47:52 2022
#
# config used
# NIST calibration factor: 1.0130+/-0.0014
# counts_expected: '352193.52591175406'
# counts_expected_std_err: '1059.8191232266522'
# input_file: 21_30_minpol_1575nm.dat
# input_file_sha1hash: 3883942cc764c38a508c48dad6cc6b641a9c841c
# nonlinear_yaml: 11_03_console_nonlinear_1575nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 10ef5ae518deec9b38c196263ff0dcef66c43967
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 16_51_console_switch_cal_1575nm.dat
# switch_file_sha1hash: 5e8d132c1fab83a4dc80b317012926ee30c148ca
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000001, 0.000003
0.3300, 0.000013, 0.000009
0.3400, 0.000175, 0.000026
0.3500, 0.001632, 0.000097
0.3600, 0.011035, 0.000269
0.3700, 0.048449, 0.000500
0.3800, 0.138092, 0.000944
0.3900, 0.276221, 0.001621
0.4000, 0.428126, 0.002111
0.4100, 0.559343, 0.002342
0.4200, 0.660731, 0.002597
0.4300, 0.735466, 0.002940
0.4400, 0.791314, 0.003047
0.4500, 0.830832, 0.003156
0.4600, 0.859518, 0.003070
0.4700, 0.880757, 0.003172
0.4800, 0.894685, 0.003381
0.4900, 0.904892, 0.003461
0.5000, 0.912757, 0.003701
0.5100, 0.918197, 0.003348
0.5200, 0.920866, 0.003783
