#  Calculate SDE 
#
#  Mon Jan 10 09:47:51 2022
#
# config used
# NIST calibration factor: 1.0132+/-0.0014
# counts_expected: '236045.46333163988'
# counts_expected_std_err: '519.6185979190112'
# input_file: 22_28_maxpol_1570nm.dat
# input_file_sha1hash: 5abc093562a3a5af1e7f9ff28cd2923823795711
# nonlinear_yaml: 08_53_console_nonlinear_1570nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 650e36695a1d27fe4363f229811cab49df7b6c67
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 16_11_console_switch_cal_1570nm.dat
# switch_file_sha1hash: 7006b108d7316a83aad08cd93c31869c4b05632b
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000001, 0.000003
0.3300, 0.000016, 0.000011
0.3400, 0.000176, 0.000035
0.3500, 0.001425, 0.000085
0.3600, 0.008926, 0.000279
0.3700, 0.038860, 0.000542
0.3800, 0.116549, 0.001144
0.3900, 0.253078, 0.001456
0.4000, 0.420250, 0.002069
0.4100, 0.576153, 0.002449
0.4200, 0.691305, 0.002840
0.4300, 0.769899, 0.002911
0.4400, 0.824567, 0.003008
0.4500, 0.862284, 0.003124
0.4600, 0.888341, 0.003440
0.4700, 0.905209, 0.002936
0.4800, 0.916409, 0.003136
0.4900, 0.923996, 0.003140
0.5000, 0.930344, 0.003387
0.5100, 0.933976, 0.003714
0.5200, 0.937319, 0.003465
0.5300, 0.939691, 0.003569
