#  Calculate SDE 
#
#  Mon Jan 10 09:47:51 2022
#
# config used
# NIST calibration factor: 1.0132+/-0.0014
# counts_expected: '236045.46333163988'
# counts_expected_std_err: '519.6185979190112'
# input_file: 22_28_minpol_1570nm.dat
# input_file_sha1hash: 08e9e6ba64890ebb0f00ebe642edd84b4a951b79
# nonlinear_yaml: 08_53_console_nonlinear_1570nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 650e36695a1d27fe4363f229811cab49df7b6c67
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 16_11_console_switch_cal_1570nm.dat
# switch_file_sha1hash: 7006b108d7316a83aad08cd93c31869c4b05632b
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000000, 0.000002
0.3300, 0.000015, 0.000010
0.3400, 0.000174, 0.000044
0.3500, 0.001460, 0.000105
0.3600, 0.009016, 0.000270
0.3700, 0.038871, 0.000508
0.3800, 0.117105, 0.001004
0.3900, 0.252348, 0.001420
0.4000, 0.419686, 0.002263
0.4100, 0.573548, 0.002149
0.4200, 0.689238, 0.002597
0.4300, 0.768977, 0.002888
0.4400, 0.823072, 0.002999
0.4500, 0.860555, 0.003260
0.4600, 0.886422, 0.003225
0.4700, 0.902474, 0.003421
0.4800, 0.914318, 0.003160
0.4900, 0.922720, 0.003567
0.5000, 0.929179, 0.003311
0.5100, 0.932886, 0.003275
0.5200, 0.935515, 0.003540
