#  Calculate SDE 
#
#  Mon Jan 10 09:47:51 2022
#
# config used
# NIST calibration factor: 1.0135+/-0.0014
# counts_expected: '235009.52330464293'
# counts_expected_std_err: '583.815153695344'
# input_file: 23_28_maxpol_1565nm.dat
# input_file_sha1hash: fd15d71caa91d9670cd83d549a5c1113bbded681
# nonlinear_yaml: 06_43_console_nonlinear_1565nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 45f88b28b192820eeb9a21ceefaea6604f3e054c
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 15_31_console_switch_cal_1565nm.dat
# switch_file_sha1hash: 6d6deef82d1f53678a813dae003ba3f43b3a85b3
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000001, 0.000003
0.3300, 0.000019, 0.000012
0.3400, 0.000190, 0.000036
0.3500, 0.001518, 0.000141
0.3600, 0.009392, 0.000262
0.3700, 0.039959, 0.000672
0.3800, 0.118876, 0.000941
0.3900, 0.257725, 0.001875
0.4000, 0.425836, 0.001950
0.4100, 0.580178, 0.002819
0.4200, 0.697857, 0.002908
0.4300, 0.775727, 0.002836
0.4400, 0.830473, 0.003201
0.4500, 0.868989, 0.003264
0.4600, 0.894411, 0.003381
0.4700, 0.910225, 0.003156
0.4800, 0.922000, 0.003670
0.4900, 0.931152, 0.003563
0.5000, 0.937350, 0.003794
0.5100, 0.940517, 0.003367
0.5200, 0.943443, 0.003857
0.5300, 0.946039, 0.003668
