#  Calculate SDE 
#
#  Mon Jan 10 09:47:50 2022
#
# config used
# NIST calibration factor: 1.0135+/-0.0014
# counts_expected: '235009.52330464293'
# counts_expected_std_err: '583.815153695344'
# input_file: 23_28_minpol_1565nm.dat
# input_file_sha1hash: 0eb0b43b3cfcd4468019508653a2c50a1c724e21
# nonlinear_yaml: 06_43_console_nonlinear_1565nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: 45f88b28b192820eeb9a21ceefaea6604f3e054c
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 15_31_console_switch_cal_1565nm.dat
# switch_file_sha1hash: 6d6deef82d1f53678a813dae003ba3f43b3a85b3
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000002
0.3200, 0.000003, 0.000004
0.3300, 0.000018, 0.000012
0.3400, 0.000203, 0.000038
0.3500, 0.001508, 0.000116
0.3600, 0.009285, 0.000311
0.3700, 0.040151, 0.000694
0.3800, 0.118574, 0.001007
0.3900, 0.256502, 0.001394
0.4000, 0.424824, 0.002278
0.4100, 0.579115, 0.002244
0.4200, 0.695776, 0.002956
0.4300, 0.775174, 0.002717
0.4400, 0.829969, 0.003651
0.4500, 0.867199, 0.003791
0.4600, 0.893555, 0.003624
0.4700, 0.910910, 0.003691
0.4800, 0.922401, 0.003311
0.4900, 0.930017, 0.003497
0.5000, 0.936668, 0.003654
0.5100, 0.939710, 0.003985
0.5200, 0.942869, 0.003708
0.5300, 0.945418, 0.004104
