#  Calculate SDE 
#
#  Mon Jan 10 09:47:47 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '98032.02394973137'
# counts_expected_std_err: '248.56684874832195'
# input_file: 19_00_no_pol_1550nm.dat
# input_file_sha1hash: 5ed25e0c0d36769604d2e2de95e226858463a758
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000005, 0.000009
0.3300, 0.000055, 0.000028
0.3400, 0.000523, 0.000108
0.3500, 0.003361, 0.000252
0.3600, 0.016344, 0.000823
0.3700, 0.058087, 0.000999
0.3800, 0.153485, 0.002194
0.3900, 0.313628, 0.002206
0.4000, 0.511028, 0.004134
0.4100, 0.689947, 0.004030
0.4200, 0.808469, 0.003945
0.4300, 0.875603, 0.004041
0.4400, 0.908415, 0.004417
0.4500, 0.930401, 0.005004
0.4600, 0.944786, 0.005556
0.4700, 0.951454, 0.004895
0.4800, 0.955958, 0.004503
0.4900, 0.962678, 0.005668
0.5000, 0.965260, 0.004984
0.5100, 0.966048, 0.005176
0.5200, 0.968976, 0.004943
0.5300, 0.967204, 0.005490
0.5400, 0.967205, 0.005788
0.5500, 0.967844, 0.005611
