#  Calculate SDE 
#
#  Mon Jan 10 09:47:48 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '150010.54921225575'
# counts_expected_std_err: '380.35628350702353'
# input_file: 19_39_no_pol_1550nm.dat
# input_file_sha1hash: f8681852c893704e668c88854e08b18cc0925987
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000003, 0.000006
0.3300, 0.000054, 0.000031
0.3400, 0.000540, 0.000069
0.3500, 0.003718, 0.000242
0.3600, 0.017936, 0.000526
0.3700, 0.063355, 0.000804
0.3800, 0.165160, 0.001433
0.3900, 0.325337, 0.001955
0.4000, 0.510022, 0.002975
0.4100, 0.668052, 0.003222
0.4200, 0.775233, 0.003953
0.4300, 0.840403, 0.003816
0.4400, 0.879819, 0.003568
0.4500, 0.906675, 0.003691
0.4600, 0.923634, 0.004510
0.4700, 0.935311, 0.004078
0.4800, 0.941700, 0.004422
0.4900, 0.945702, 0.004004
0.5000, 0.950043, 0.004405
0.5100, 0.953386, 0.004726
0.5200, 0.953333, 0.004511
0.5300, 0.955159, 0.004111
0.5400, 0.955401, 0.004699
