#  Calculate SDE 
#
#  Mon Jan 10 09:47:48 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '186140.28973761396'
# counts_expected_std_err: '472.12391769607797'
# input_file: 19_59_no_pol_1550nm.dat
# input_file_sha1hash: 3a1f358946846afae0d8a1af7a70ecec431d5120
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000001, 0.000002
0.3200, 0.000006, 0.000007
0.3300, 0.000061, 0.000026
0.3400, 0.000554, 0.000077
0.3500, 0.004053, 0.000209
0.3600, 0.019797, 0.000436
0.3700, 0.068910, 0.000743
0.3800, 0.174402, 0.001412
0.3900, 0.333996, 0.001807
0.4000, 0.509904, 0.002340
0.4100, 0.658808, 0.003093
0.4200, 0.757557, 0.003422
0.4300, 0.821393, 0.003154
0.4400, 0.865271, 0.003864
0.4500, 0.893595, 0.003960
0.4600, 0.910952, 0.003857
0.4700, 0.924247, 0.003810
0.4800, 0.930745, 0.003718
0.4900, 0.937640, 0.003792
0.5000, 0.941357, 0.003781
0.5100, 0.944567, 0.004281
0.5200, 0.947753, 0.003955
0.5300, 0.947747, 0.004228
