#  Calculate SDE 
#
#  Mon Jan 10 09:47:48 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '230076.2000941935'
# counts_expected_std_err: '583.2881912483026'
# input_file: 20_17_no_pol_1550nm.dat
# input_file_sha1hash: 2cf1db0ceab2a057273f3b23f709f623807d5534
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000005, 0.000006
0.3300, 0.000055, 0.000021
0.3400, 0.000574, 0.000071
0.3500, 0.004290, 0.000172
0.3600, 0.021615, 0.000403
0.3700, 0.075973, 0.000820
0.3800, 0.186064, 0.001687
0.3900, 0.342647, 0.002005
0.4000, 0.506625, 0.002796
0.4100, 0.642253, 0.002751
0.4200, 0.737363, 0.002772
0.4300, 0.800263, 0.003152
0.4400, 0.845755, 0.003436
0.4500, 0.876685, 0.003567
0.4600, 0.897458, 0.003691
0.4700, 0.911205, 0.003564
0.4800, 0.920271, 0.003861
0.4900, 0.928319, 0.003374
0.5000, 0.932203, 0.004218
0.5100, 0.935211, 0.003917
0.5200, 0.937038, 0.004134
0.5300, 0.936335, 0.003661
