#  Calculate SDE 
#
#  Mon Jan 10 09:47:48 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '278041.37980501703'
# counts_expected_std_err: '705.4121493080521'
# input_file: 20_36_no_pol_1550nm.dat
# input_file_sha1hash: 56b0358fd6d3808bbea3b9aec6634cf8b76a1f3c
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000002
0.3200, 0.000005, 0.000006
0.3300, 0.000066, 0.000018
0.3400, 0.000598, 0.000070
0.3500, 0.004772, 0.000149
0.3600, 0.024169, 0.000366
0.3700, 0.082462, 0.001016
0.3800, 0.195819, 0.001229
0.3900, 0.349385, 0.001783
0.4000, 0.503041, 0.002408
0.4100, 0.626362, 0.002482
0.4200, 0.716150, 0.002678
0.4300, 0.779326, 0.002896
0.4400, 0.826151, 0.003348
0.4500, 0.859014, 0.003081
0.4600, 0.881449, 0.003298
0.4700, 0.896635, 0.003071
0.4800, 0.906765, 0.003401
0.4900, 0.914185, 0.003462
0.5000, 0.919794, 0.003551
0.5100, 0.924316, 0.003300
0.5200, 0.926503, 0.003689
0.5300, 0.926086, 0.004037
0.5400, 0.926004, 0.003462
