#  Calculate SDE 
#
#  Mon Jan 10 09:47:48 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '333764.53999224125'
# counts_expected_std_err: '846.2550902905257'
# input_file: 20_56_no_pol_1550nm.dat
# input_file_sha1hash: 1c2a9577495541a47170809543e5c597d9bb1151
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000001
0.3200, 0.000003, 0.000005
0.3300, 0.000064, 0.000019
0.3400, 0.000655, 0.000057
0.3500, 0.005205, 0.000180
0.3600, 0.027124, 0.000426
0.3700, 0.090752, 0.000785
0.3800, 0.207310, 0.001561
0.3900, 0.355164, 0.001671
0.4000, 0.495877, 0.001881
0.4100, 0.608984, 0.002381
0.4200, 0.695634, 0.002773
0.4300, 0.759004, 0.002666
0.4400, 0.806477, 0.002819
0.4500, 0.840584, 0.003112
0.4600, 0.863984, 0.003051
0.4700, 0.881770, 0.002995
0.4800, 0.893523, 0.003164
0.4900, 0.903931, 0.002947
0.5000, 0.908179, 0.003570
0.5100, 0.912011, 0.003487
0.5200, 0.915148, 0.003308
0.5300, 0.915703, 0.003612
