#  Calculate SDE 
#
#  Mon Jan 10 09:47:47 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '411157.5390320767'
# counts_expected_std_err: '1041.9939426075016'
# input_file: 21_15_no_pol_1550nm.dat
# input_file_sha1hash: 16c212033c229693773d804f90901f6a8aff4651
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000003, 0.000004
0.3300, 0.000066, 0.000017
0.3400, 0.000702, 0.000066
0.3500, 0.006035, 0.000188
0.3600, 0.032132, 0.000416
0.3700, 0.103146, 0.000655
0.3800, 0.221876, 0.001108
0.3900, 0.359661, 0.001585
0.4000, 0.486908, 0.002029
0.4100, 0.591186, 0.002071
0.4200, 0.671364, 0.002479
0.4300, 0.734429, 0.002536
0.4400, 0.781883, 0.002637
0.4500, 0.816873, 0.002694
0.4600, 0.841783, 0.002809
0.4700, 0.861640, 0.003181
0.4800, 0.875799, 0.002974
0.4900, 0.885155, 0.003375
0.5000, 0.892457, 0.003228
0.5100, 0.896867, 0.003067
0.5200, 0.899917, 0.003211
0.5300, 0.902004, 0.003124
