#  Calculate SDE 
#
#  Mon Jan 10 09:47:48 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '505688.22990618757'
# counts_expected_std_err: '1281.3719457727575'
# input_file: 21_34_no_pol_1550nm.dat
# input_file_sha1hash: 415db27a0729c617e31671705df881802a679f64
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000004, 0.000004
0.3300, 0.000065, 0.000015
0.3400, 0.000811, 0.000066
0.3500, 0.007347, 0.000163
0.3600, 0.038734, 0.000519
0.3700, 0.117294, 0.000838
0.3800, 0.234247, 0.001163
0.3900, 0.360045, 0.001479
0.4000, 0.473592, 0.001781
0.4100, 0.567679, 0.001962
0.4200, 0.644005, 0.002131
0.4300, 0.705399, 0.002216
0.4400, 0.752568, 0.002541
0.4500, 0.789088, 0.002536
0.4600, 0.815940, 0.002590
0.4700, 0.836886, 0.002724
0.4800, 0.852580, 0.002821
0.4900, 0.864060, 0.002701
0.5000, 0.870467, 0.002770
0.5100, 0.876379, 0.002748
