#  Calculate SDE 
#
#  Mon Jan 10 09:47:52 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '96303.81245138377'
# counts_expected_std_err: '244.01261574307796'
# input_file: 19_00_no_pol_1550nm.dat
# input_file_sha1hash: bfd59f5fa9388c158f03502f1a36c1aa2cb76024
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000001, 0.000005
0.3300, 0.000009, 0.000013
0.3400, 0.000085, 0.000038
0.3500, 0.000682, 0.000139
0.3600, 0.004267, 0.000288
0.3700, 0.019626, 0.000577
0.3800, 0.067159, 0.001359
0.3900, 0.170614, 0.001853
0.4000, 0.341712, 0.002658
0.4100, 0.542101, 0.003361
0.4200, 0.716128, 0.003721
0.4300, 0.824923, 0.003968
0.4400, 0.885187, 0.004705
0.4500, 0.916815, 0.004968
0.4600, 0.937629, 0.005131
0.4700, 0.951717, 0.005188
0.4800, 0.962152, 0.005736
0.4900, 0.967784, 0.005069
0.5000, 0.969205, 0.005461
0.5100, 0.977809, 0.005337
0.5200, 0.980641, 0.005345
0.5300, 0.982882, 0.006534
0.5400, 0.980992, 0.006262
0.5500, 1.133159, 0.194387
