#  Calculate SDE 
#
#  Mon Jan 10 09:47:53 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '119021.55157618786'
# counts_expected_std_err: '301.4221704329076'
# input_file: 19_19_no_pol_1550nm.dat
# input_file_sha1hash: 58cecd57b520333a282cddb08e68fbd87e10c36d
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000002, 0.000005
0.3300, 0.000010, 0.000010
0.3400, 0.000081, 0.000035
0.3500, 0.000734, 0.000096
0.3600, 0.004529, 0.000273
0.3700, 0.021057, 0.000574
0.3800, 0.070861, 0.000959
0.3900, 0.179222, 0.001813
0.4000, 0.347848, 0.002536
0.4100, 0.541672, 0.003207
0.4200, 0.706734, 0.003328
0.4300, 0.812297, 0.003915
0.4400, 0.871373, 0.004091
0.4500, 0.906167, 0.004061
0.4600, 0.930182, 0.005310
0.4700, 0.944024, 0.004179
0.4800, 0.953153, 0.004383
0.4900, 0.960845, 0.004326
0.5000, 0.966130, 0.004228
0.5100, 0.972021, 0.005099
0.5200, 0.974767, 0.005250
0.5300, 0.976601, 0.005611
0.5400, 0.978072, 0.005194
0.5500, 0.974581, 0.005829
