#  Calculate SDE 
#
#  Mon Jan 10 09:47:53 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '146962.973275907'
# counts_expected_std_err: '372.0976030358546'
# input_file: 19_38_no_pol_1550nm.dat
# input_file_sha1hash: 201f18be27dab822533050eaca787177a27d8d2c
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000001, 0.000003
0.3300, 0.000006, 0.000009
0.3400, 0.000095, 0.000040
0.3500, 0.000821, 0.000107
0.3600, 0.005027, 0.000242
0.3700, 0.022697, 0.000533
0.3800, 0.075065, 0.001092
0.3900, 0.187958, 0.002058
0.4000, 0.355611, 0.002568
0.4100, 0.542402, 0.002977
0.4200, 0.696139, 0.003502
0.4300, 0.795211, 0.003717
0.4400, 0.855592, 0.004124
0.4500, 0.894378, 0.004053
0.4600, 0.918931, 0.003890
0.4700, 0.935543, 0.004132
0.4800, 0.945247, 0.004151
0.4900, 0.953637, 0.003886
0.5000, 0.960139, 0.004651
0.5100, 0.962366, 0.004238
0.5200, 0.966349, 0.004342
0.5300, 0.968355, 0.004496
0.5400, 0.968215, 0.004593
