#  Calculate SDE 
#
#  Mon Jan 10 09:47:53 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '181989.8598736032'
# counts_expected_std_err: '460.73554186071414'
# input_file: 19_57_no_pol_1550nm.dat
# input_file_sha1hash: 07aa34e0314785b3d51b1698e347393cb4bd1ac8
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000000, 0.000000
0.3300, 0.000004, 0.000006
0.3400, 0.000085, 0.000028
0.3500, 0.000817, 0.000100
0.3600, 0.005211, 0.000231
0.3700, 0.024402, 0.000560
0.3800, 0.081213, 0.000896
0.3900, 0.197434, 0.001622
0.4000, 0.364252, 0.002125
0.4100, 0.539571, 0.002769
0.4200, 0.682907, 0.003190
0.4300, 0.776766, 0.002984
0.4400, 0.836006, 0.003314
0.4500, 0.877907, 0.003540
0.4600, 0.904595, 0.003654
0.4700, 0.922917, 0.004191
0.4800, 0.934339, 0.003866
0.4900, 0.944698, 0.003908
0.5000, 0.951498, 0.003900
0.5100, 0.956235, 0.003947
0.5200, 0.959960, 0.004302
