#  Calculate SDE 
#
#  Mon Jan 10 09:47:53 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '224892.6207173357'
# counts_expected_std_err: '569.440699306836'
# input_file: 20_16_no_pol_1550nm.dat
# input_file_sha1hash: 8e8e3aa48b4f867141915057b6410a256e2d7459
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000002
0.3200, 0.000000, 0.000000
0.3300, 0.000008, 0.000008
0.3400, 0.000092, 0.000028
0.3500, 0.000880, 0.000086
0.3600, 0.005687, 0.000202
0.3700, 0.027111, 0.000648
0.3800, 0.088720, 0.000730
0.3900, 0.207515, 0.001611
0.4000, 0.370704, 0.001881
0.4100, 0.535026, 0.002509
0.4200, 0.664406, 0.002985
0.4300, 0.755308, 0.003238
0.4400, 0.817117, 0.003526
0.4500, 0.860331, 0.003232
0.4600, 0.888221, 0.003404
0.4700, 0.908693, 0.003700
0.4800, 0.922605, 0.003420
0.4900, 0.933364, 0.003701
0.5000, 0.940951, 0.003887
0.5100, 0.945882, 0.004429
0.5200, 0.949237, 0.003732
0.5300, 0.952623, 0.004484
0.5400, 0.950762, 0.004442
