#  Calculate SDE 
#
#  Mon Jan 10 09:47:52 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '272173.65283567196'
# counts_expected_std_err: '689.2551619128676'
# input_file: 20_35_no_pol_1550nm.dat
# input_file_sha1hash: 1c26e9866552de4afae6c58839cb8120a8cfe97f
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000001, 0.000002
0.3300, 0.000007, 0.000007
0.3400, 0.000101, 0.000028
0.3500, 0.000901, 0.000084
0.3600, 0.006421, 0.000172
0.3700, 0.030346, 0.000438
0.3800, 0.096882, 0.000879
0.3900, 0.218250, 0.001277
0.4000, 0.374491, 0.002117
0.4100, 0.527555, 0.002223
0.4200, 0.648122, 0.002473
0.4300, 0.734987, 0.002676
0.4400, 0.796239, 0.002878
0.4500, 0.840756, 0.003270
0.4600, 0.871502, 0.003307
0.4700, 0.893392, 0.003268
0.4800, 0.907934, 0.003498
0.4900, 0.919384, 0.003523
0.5000, 0.928621, 0.003537
0.5100, 0.935153, 0.003583
0.5200, 0.938291, 0.003572
0.5300, 0.940965, 0.003697
