#  Calculate SDE 
#
#  Mon Jan 10 09:47:52 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '327251.7184409257'
# counts_expected_std_err: '828.5296657151298'
# input_file: 20_54_no_pol_1550nm.dat
# input_file_sha1hash: 11282268c84efa3fd96e1a613b738df9768439a1
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000000, 0.000001
0.3300, 0.000006, 0.000007
0.3400, 0.000097, 0.000024
0.3500, 0.001008, 0.000079
0.3600, 0.007233, 0.000178
0.3700, 0.034369, 0.000425
0.3800, 0.106442, 0.000772
0.3900, 0.230255, 0.001322
0.4000, 0.380145, 0.001730
0.4100, 0.520770, 0.002188
0.4200, 0.631644, 0.002580
0.4300, 0.714632, 0.002687
0.4400, 0.776253, 0.002745
0.4500, 0.821789, 0.002952
0.4600, 0.854785, 0.003357
0.4700, 0.877723, 0.002978
0.4800, 0.895579, 0.003153
0.4900, 0.907423, 0.003270
0.5000, 0.916061, 0.003142
0.5100, 0.924360, 0.003054
0.5200, 0.927760, 0.003229
0.5300, 0.930226, 0.003362
