#  Calculate SDE 
#
#  Mon Jan 10 09:47:52 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '403597.8056468658'
# counts_expected_std_err: '1021.8492800605474'
# input_file: 21_13_no_pol_1550nm.dat
# input_file_sha1hash: 1335d200a136178132cf76d15f3fd58782774bf0
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000001
0.3200, 0.000001, 0.000002
0.3300, 0.000007, 0.000008
0.3400, 0.000105, 0.000027
0.3500, 0.001141, 0.000083
0.3600, 0.008547, 0.000203
0.3700, 0.040575, 0.000467
0.3800, 0.119633, 0.000773
0.3900, 0.243487, 0.001254
0.4000, 0.382660, 0.001485
0.4100, 0.508642, 0.001894
0.4200, 0.610002, 0.002244
0.4300, 0.688493, 0.002372
0.4400, 0.751081, 0.002615
0.4500, 0.797428, 0.002814
0.4600, 0.831267, 0.002775
0.4700, 0.856592, 0.003011
0.4800, 0.875036, 0.002945
0.4900, 0.888595, 0.002938
0.5000, 0.899680, 0.002960
0.5100, 0.907556, 0.003189
0.5200, 0.911569, 0.003000
