#  Calculate SDE 
#
#  Mon Jan 10 09:47:53 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '496726.6585377936'
# counts_expected_std_err: '1257.6162091156637'
# input_file: 21_32_no_pol_1550nm.dat
# input_file_sha1hash: d57ab275e8fcc5d4f0a48909855f69d333c43015
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000001, 0.000002
0.3300, 0.000008, 0.000005
0.3400, 0.000110, 0.000021
0.3500, 0.001336, 0.000093
0.3600, 0.010624, 0.000205
0.3700, 0.048958, 0.000466
0.3800, 0.134780, 0.000962
0.3900, 0.255347, 0.001161
0.4000, 0.382413, 0.001510
0.4100, 0.494547, 0.001741
0.4200, 0.587210, 0.002008
0.4300, 0.662695, 0.002354
0.4400, 0.722795, 0.002329
0.4500, 0.768230, 0.002590
0.4600, 0.803593, 0.002706
0.4700, 0.830866, 0.002707
0.4800, 0.851137, 0.002794
0.4900, 0.867067, 0.002799
0.5000, 0.879364, 0.002705
0.5100, 0.886950, 0.002837
0.5200, 0.891110, 0.003318
