#  Calculate SDE 
#
#  Mon Jan 10 09:47:54 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '94953.42021720843'
# counts_expected_std_err: '240.20326857783917'
# input_file: 18_19_no_pol_1550nm.dat
# input_file_sha1hash: d947bd25a7ee498479c901701eb9af6cc12d4fb3
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000001, 0.000005
0.3200, 0.000006, 0.000012
0.3300, 0.000038, 0.000034
0.3400, 0.000232, 0.000065
0.3500, 0.001649, 0.000178
0.3600, 0.008257, 0.000405
0.3700, 0.032420, 0.000901
0.3800, 0.098041, 0.001432
0.3900, 0.225170, 0.002408
0.4000, 0.410234, 0.003473
0.4100, 0.604881, 0.003941
0.4200, 0.758655, 0.003589
0.4300, 0.847794, 0.004735
0.4400, 0.899026, 0.005503
0.4500, 0.925461, 0.005102
0.4600, 0.941573, 0.004876
0.4700, 0.951861, 0.004508
0.4800, 0.957874, 0.004853
0.4900, 0.961044, 0.004954
0.5000, 0.965898, 0.005222
0.5100, 0.966661, 0.005994
0.5200, 0.969678, 0.005405
