#  Calculate SDE 
#
#  Mon Jan 10 09:47:53 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '117494.64836881463'
# counts_expected_std_err: '297.1433588245724'
# input_file: 18_37_no_pol_1550nm.dat
# input_file_sha1hash: 0be23e535e9d8e5f0b29f44b179cd2c3e8c02537
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000001, 0.000004
0.3300, 0.000027, 0.000020
0.3400, 0.000204, 0.000062
0.3500, 0.001586, 0.000173
0.3600, 0.008223, 0.000464
0.3700, 0.033361, 0.000864
0.3800, 0.101074, 0.001286
0.3900, 0.231843, 0.001936
0.4000, 0.413804, 0.002737
0.4100, 0.601524, 0.003532
0.4200, 0.747666, 0.004138
0.4300, 0.834527, 0.004188
0.4400, 0.883632, 0.004694
0.4500, 0.913111, 0.004360
0.4600, 0.932345, 0.004013
0.4700, 0.944014, 0.004766
0.4800, 0.952469, 0.004326
0.4900, 0.956872, 0.004472
0.5000, 0.960239, 0.004926
0.5100, 0.965099, 0.005255
0.5200, 0.963289, 0.005770
