#  Calculate SDE 
#
#  Mon Jan 10 09:47:54 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '145181.95498907828'
# counts_expected_std_err: '367.1231317814627'
# input_file: 18_55_no_pol_1550nm.dat
# input_file_sha1hash: a5b42cb3efbe05eb292dd8d39079606ce5cc3e32
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000001, 0.000003
0.3100, 0.000000, 0.000000
0.3200, 0.000002, 0.000006
0.3300, 0.000017, 0.000014
0.3400, 0.000212, 0.000054
0.3500, 0.001536, 0.000133
0.3600, 0.008657, 0.000328
0.3700, 0.035374, 0.000706
0.3800, 0.105776, 0.001294
0.3900, 0.237849, 0.001933
0.4000, 0.418335, 0.002717
0.4100, 0.596126, 0.003264
0.4200, 0.731660, 0.003543
0.4300, 0.818257, 0.003667
0.4400, 0.869653, 0.003916
0.4500, 0.898840, 0.003656
0.4600, 0.920624, 0.004257
0.4700, 0.932960, 0.004186
0.4800, 0.942961, 0.004063
0.4900, 0.948599, 0.004025
0.5000, 0.952849, 0.004374
0.5100, 0.955644, 0.005156
0.5200, 0.957029, 0.004134
0.5300, 1.040051, 0.054592
