#  Calculate SDE 
#
#  Mon Jan 10 09:47:53 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '180325.29961307422'
# counts_expected_std_err: '456.1988054990155'
# input_file: 19_13_no_pol_1550nm.dat
# input_file_sha1hash: 03b2155e1b5ec76469bd59ab3b9b33fe3d2159f8
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000002, 0.000004
0.3300, 0.000029, 0.000015
0.3400, 0.000200, 0.000036
0.3500, 0.001649, 0.000126
0.3600, 0.009238, 0.000283
0.3700, 0.038325, 0.000630
0.3800, 0.113185, 0.001363
0.3900, 0.249142, 0.001649
0.4000, 0.424117, 0.002357
0.4100, 0.591473, 0.003482
0.4200, 0.718315, 0.003337
0.4300, 0.799386, 0.003477
0.4400, 0.851171, 0.003598
0.4500, 0.886112, 0.003518
0.4600, 0.907541, 0.004049
0.4700, 0.922572, 0.003652
0.4800, 0.930990, 0.003993
0.4900, 0.940091, 0.003910
0.5000, 0.942529, 0.003870
0.5100, 0.948576, 0.003782
0.5200, 0.951192, 0.003934
0.5300, 0.951509, 0.004150
