#  Calculate SDE 
#
#  Mon Jan 10 09:47:53 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '222684.9927066969'
# counts_expected_std_err: '562.9296953706262'
# input_file: 19_32_no_pol_1550nm.dat
# input_file_sha1hash: f835ef31a1c283f21b820bc26b12e7a65eab97e1
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000002, 0.000004
0.3300, 0.000018, 0.000012
0.3400, 0.000209, 0.000045
0.3500, 0.001677, 0.000121
0.3600, 0.010090, 0.000361
0.3700, 0.041754, 0.000644
0.3800, 0.122015, 0.001053
0.3900, 0.259952, 0.001565
0.4000, 0.428621, 0.001984
0.4100, 0.584200, 0.002993
0.4200, 0.702173, 0.002959
0.4300, 0.780721, 0.002859
0.4400, 0.833501, 0.003230
0.4500, 0.870327, 0.003421
0.4600, 0.895394, 0.003441
0.4700, 0.911074, 0.003408
0.4800, 0.922150, 0.003311
0.4900, 0.930371, 0.003484
0.5000, 0.936575, 0.003916
0.5100, 0.940769, 0.003780
0.5200, 0.942056, 0.004003
0.5300, 0.942648, 0.003911
