#  Calculate SDE 
#
#  Mon Jan 10 09:47:54 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '269385.7984649875'
# counts_expected_std_err: '681.3603020247322'
# input_file: 19_51_no_pol_1550nm.dat
# input_file_sha1hash: 1c9635a1c948787aafec3aa191059799da7285ca
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000001, 0.000003
0.3300, 0.000019, 0.000011
0.3400, 0.000213, 0.000032
0.3500, 0.001794, 0.000119
0.3600, 0.011051, 0.000253
0.3700, 0.045876, 0.000485
0.3800, 0.131577, 0.001818
0.3900, 0.269043, 0.001623
0.4000, 0.430931, 0.001951
0.4100, 0.574213, 0.002543
0.4200, 0.682663, 0.002476
0.4300, 0.759256, 0.003031
0.4400, 0.812479, 0.002963
0.4500, 0.851810, 0.003220
0.4600, 0.877231, 0.003274
0.4700, 0.894970, 0.003691
0.4800, 0.907666, 0.003424
0.4900, 0.917320, 0.003143
0.5000, 0.922063, 0.003404
0.5100, 0.925954, 0.003679
0.5200, 0.930800, 0.003399
0.5300, 0.932351, 0.003514
