#  Calculate SDE 
#
#  Mon Jan 10 09:47:54 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '324057.09366871'
# counts_expected_std_err: '819.618027723766'
# input_file: 20_10_no_pol_1550nm.dat
# input_file_sha1hash: 6c2cd351f997d25180925b9d47b2b0b51f00fc69
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000001, 0.000002
0.3300, 0.000022, 0.000011
0.3400, 0.000211, 0.000035
0.3500, 0.001964, 0.000128
0.3600, 0.012323, 0.000291
0.3700, 0.051835, 0.000654
0.3800, 0.142193, 0.001056
0.3900, 0.279936, 0.001589
0.4000, 0.432456, 0.002044
0.4100, 0.564819, 0.002195
0.4200, 0.665590, 0.002568
0.4300, 0.739630, 0.002616
0.4400, 0.794063, 0.002952
0.4500, 0.833623, 0.002935
0.4600, 0.860295, 0.003116
0.4700, 0.880324, 0.002901
0.4800, 0.895132, 0.002973
0.4900, 0.904145, 0.003468
0.5000, 0.911564, 0.003311
0.5100, 0.917389, 0.003185
0.5200, 0.920084, 0.003136
