#  Calculate SDE 
#
#  Mon Jan 10 09:47:54 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '399336.1381104059'
# counts_expected_std_err: '1009.8816476484212'
# input_file: 20_28_no_pol_1550nm.dat
# input_file_sha1hash: 6d50a44fe5fe8bc3a60956001e669ad1adfdb861
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000001
0.3200, 0.000002, 0.000003
0.3300, 0.000021, 0.000011
0.3400, 0.000239, 0.000034
0.3500, 0.002194, 0.000102
0.3600, 0.014481, 0.000271
0.3700, 0.059449, 0.000546
0.3800, 0.155735, 0.000795
0.3900, 0.291605, 0.001342
0.4000, 0.431075, 0.002027
0.4100, 0.549517, 0.002086
0.4200, 0.642887, 0.002321
0.4300, 0.714737, 0.002480
0.4400, 0.769090, 0.002600
0.4500, 0.809948, 0.002789
0.4600, 0.838751, 0.002962
0.4700, 0.860485, 0.002899
0.4800, 0.875820, 0.003176
0.4900, 0.888006, 0.003251
0.5000, 0.895264, 0.003156
0.5100, 0.900568, 0.002877
