#  Calculate SDE 
#
#  Mon Jan 10 09:47:54 2022
#
# config used
# NIST calibration factor: 1.0137+/-0.0014
# counts_expected: '491638.59181682434'
# counts_expected_std_err: '1243.3597267428725'
# input_file: 20_47_no_pol_1550nm.dat
# input_file_sha1hash: 80f1414407dbd4d71abb10d23b1121687443d9db
# nonlinear_yaml: 00_13_console_nonlinear_1550nm.dat.analysis.neo.yaml
# nonlinear_yaml_sha1hash: fd8bd080d598e63ace3c3b16e4491da14da6b05d
# script_filename: neo_sde_calculator.py
# script_sha1hash: 871c294e3da640dace687e17fd4ed8c7d025c846
# switch_file: 13_30_console_switch_cal_1550nm.dat
# switch_file_sha1hash: 98a056878871ce24d769b637c03a1d49e65ceb7f
# #
# bias,	 efficiency,	 std. err.
0.3000, 0.000000, 0.000000
0.3100, 0.000000, 0.000000
0.3200, 0.000001, 0.000002
0.3300, 0.000023, 0.000009
0.3400, 0.000270, 0.000049
0.3500, 0.002774, 0.000132
0.3600, 0.017687, 0.000251
0.3700, 0.069903, 0.000562
0.3800, 0.171630, 0.000894
0.3900, 0.300612, 0.001378
0.4000, 0.425211, 0.001833
0.4100, 0.532595, 0.001952
0.4200, 0.618978, 0.002151
0.4300, 0.687780, 0.002240
0.4400, 0.741764, 0.002385
0.4500, 0.782726, 0.002698
0.4600, 0.813567, 0.002693
0.4700, 0.836224, 0.002682
0.4800, 0.853513, 0.002872
0.4900, 0.866812, 0.002778
0.5000, 0.875909, 0.002739
0.5100, 0.882373, 0.002922
