#HydraHarp 400  Histogram Data			10/29/2021 05:58:59 PM
#channels per curve
65536
#display curve no.
0	1	2
#memory block no.
0	8	16
#ns/bin
0.0040	0.0040	0.0040
#counts
1842	1861	3304
1856	2352	3989
1798	2195	3942
1794	2267	3956
1799	2314	4011
1836	2287	3992
1883	2378	4030
1836	2313	4076
1868	2232	3982
1817	2285	3882
1829	2258	3944
1859	2202	4037
1866	2334	3964
1854	2288	3975
1872	2242	3966
1932	2238	3944
1769	2271	3983
1846	2253	3989
1839	2112	3920
1867	2265	3896
1836	2247	3803
1834	2300	4005
1857	2278	3889
1819	2370	4067
1812	2256	3866
1807	2250	4002
1840	2373	3874
1770	2286	3981
1833	2316	4081
1826	2390	4020
1779	2297	3997
1828	2301	3988
1840	2306	3912
1775	2233	3971
1850	2316	3971
1779	2346	3941
1869	2349	4060
1792	2195	3975
1824	2307	3985
1802	2274	3827
1792	2308	3839
1821	2219	4050
1741	2242	3930
1794	2281	3863
1801	2211	3973
1853	2283	3977
1850	2239	3869
1837	2260	3859
1821	2172	3753
1894	2315	3908
1724	2305	3995
1785	2330	4019
1735	2186	4022
1778	2313	3901
1761	2285	3887
1844	2314	3851
1841	2311	3899
1707	2278	3868
1768	2256	3863
1884	2250	3906
1738	2277	3813
1810	2260	3931
1840	2247	3961
1838	2208	3865
1794	2261	4016
1686	2197	3879
1829	2183	3951
1758	2322	3940
1815	2263	3940
1876	2286	3846
1763	2257	4006
1919	2380	3977
1838	2266	4005
1769	2296	4136
1825	2216	3863
1739	2239	3945
1848	2335	3843
1842	2227	3983
1775	2249	4016
1783	2252	3865
1763	2257	3897
1795	2313	3988
1844	2303	3926
1832	2315	3903
1802	2315	3849
1758	2290	3953
1812	2264	3943
1811	2223	3948
1826	2178	3970
1791	2335	3815
1887	2240	3825
1890	2293	3952
1763	2123	3884
1756	2223	3907
1837	2276	3825
1807	2178	3918
1871	2288	3892
1816	2232	3770
1819	2255	3851
1828	2244	3832
1751	2278	3932
1819	2262	3937
1753	2259	4088
1793	2267	3961
1786	2233	3834
1785	2310	3874
1820	2196	3924
1764	2284	3813
1825	2264	3902
1740	2269	3939
1776	2362	3958
1809	2264	3915
1743	2301	3888
1836	2241	3840
1765	2352	3927
1868	2339	3904
1800	2233	3898
1808	2262	3858
1828	2281	3949
1773	2295	3899
1760	2281	3868
1797	2308	3859
1826	2280	3901
1788	2268	3834
1839	2260	3947
1786	2298	3957
1753	2317	3918
1728	2312	3966
1798	2304	3933
1915	2259	3934
1798	2325	3995
1888	2230	3845
1840	2174	3886
1790	2333	3934
1709	2184	4028
1788	2355	3908
1810	2248	3916
1840	2341	3923
1719	2375	3983
1881	2279	4028
1746	2362	3976
1840	2290	4082
1902	2416	3849
1814	2349	3926
1825	2260	3912
1804	2332	3928
1846	2345	3966
1758	2323	3888
1796	2372	4011
1791	2299	3875
1861	2299	4151
1818	2310	3884
1905	2273	3954
1857	2249	4034
1832	2249	3965
1806	2316	3925
1908	2255	4018
1796	2287	4043
1825	2307	3897
1778	2400	4046
1777	2242	3984
1878	2315	4007
1810	2287	3996
1858	2300	4001
1841	2309	3929
1832	2350	3979
1837	2300	4042
1846	2339	4045
1768	2370	4054
1881	2291	3918
1781	2314	3908
1824	2306	4044
1859	2336	4039
1788	2272	4033
1860	2361	3983
1817	2264	3809
1866	2398	3986
1839	2335	4038
1838	2351	4064
1860	2305	4044
1814	2324	3999
1790	2270	4011
1892	2271	4067
1950	2382	3960
1876	2352	3997
1912	2387	4073
1767	2434	3985
1872	2302	4093
1922	2326	4087
1900	2333	4027
1816	2353	4146
1892	2361	4076
1874	2357	3990
1832	2414	4081
1883	2453	4023
1853	2351	4083
1889	2419	4092
1838	2407	4015
1796	2388	4095
1880	2393	4148
1856	2366	4160
1907	2374	4121
1871	2457	4053
1867	2362	3973
1894	2318	4058
1918	2341	4082
1951	2454	4091
1861	2404	4160
1885	2445	4036
1942	2447	4112
1945	2432	4026
1861	2396	4029
1980	2399	4145
1977	2451	4155
1857	2442	3949
1861	2375	4002
1836	2397	4017
1980	2324	4111
1872	2427	4068
1969	2306	4041
1969	2509	4194
1838	2399	4091
1884	2427	3991
1869	2464	4033
1917	2455	4134
1937	2348	4030
1898	2376	4077
1894	2400	4077
1908	2446	4091
1869	2306	4083
1956	2346	4059
1958	2407	4050
1889	2451	4058
1936	2428	4043
1865	2437	4127
1907	2414	4315
1932	2415	4040
1931	2522	4117
1876	2424	4237
1948	2280	4189
1937	2333	4084
1963	2316	4123
1909	2320	4079
1943	2314	4006
1871	2373	4267
1927	2452	4085
1875	2418	4213
1890	2400	4085
1870	2433	4263
1952	2447	4128
1816	2456	4081
1958	2411	4165
1915	2368	3984
1874	2376	3987
1970	2420	4080
1841	2373	4064
1908	2388	4000
1906	2385	4026
1972	2378	4129
1945	2357	4121
1935	2442	4076
1951	2430	4076
1895	2392	4075
1942	2468	4190
1908	2440	4010
1897	2367	4098
1950	2388	4206
2014	2401	4165
1873	2344	4074
1887	2394	4178
1908	2468	4145
1877	2418	4115
1935	2363	4071
1909	2489	4221
1908	2282	4155
1837	2423	4165
1815	2384	4119
1866	2448	4118
1929	2407	4064
1859	2361	4171
1909	2377	4156
1877	2346	4066
1882	2397	4079
1874	2446	4043
1872	2395	4228
1842	2429	3991
1898	2297	4172
1962	2426	4029
1940	2351	4159
1947	2345	4152
1876	2325	4135
1941	2481	4108
1986	2323	4050
1829	2474	4185
1892	2397	4105
1924	2377	4019
1886	2397	4061
1950	2385	4127
1976	2380	4125
1979	2371	4033
1893	2407	4096
1964	2439	4126
1940	2426	4151
1821	2382	4064
1856	2379	4094
1943	2419	4035
1911	2415	3993
1895	2309	4063
1827	2388	4095
1914	2396	4035
1894	2414	3912
1924	2311	4057
1906	2349	4126
1963	2391	4056
1873	2384	3969
1873	2362	4118
1901	2367	4108
1946	2457	4069
1834	2382	3943
1901	2468	4124
1909	2346	4046
1911	2467	4067
1912	2420	4106
1842	2338	4068
1784	2366	4104
1928	2390	4038
1781	2464	4024
1940	2339	4025
1972	2422	4060
1835	2358	4137
1896	2265	4123
1937	2333	4049
1905	2340	4067
1962	2326	4020
1935	2416	4133
1921	2457	4160
1878	2363	4113
1924	2417	4040
1845	2341	4067
1894	2387	4012
1917	2421	4081
1906	2391	4065
1909	2425	4003
1908	2415	4007
1859	2500	4134
1890	2381	4000
1885	2389	4056
1912	2406	4041
1853	2302	4043
1899	2406	4084
1851	2399	4062
1885	2468	4040
1942	2306	4109
1909	2450	4138
1973	2385	4159
1853	2419	4063
1883	2333	4069
1823	2525	4068
1914	2385	3983
1831	2338	4014
1889	2307	4158
1849	2338	4141
1946	2487	4066
1914	2445	4075
1900	2371	4122
1929	2357	3979
1927	2420	4159
1890	2386	4088
1925	2392	4052
1902	2426	4098
1934	2429	4110
1818	2379	4078
1972	2383	4216
1924	2379	4055
1872	2386	4163
1966	2372	4104
1854	2379	4105
1943	2401	4046
1927	2452	4015
1915	2410	4149
1927	2517	4066
1961	2346	4134
1949	2417	4191
1853	2492	4240
1926	2459	4095
1916	2411	4139
1947	2485	4145
1890	2449	4155
1984	2396	4200
1856	2497	4063
1957	2339	4139
1846	2465	4232
1934	2422	4256
2018	2395	4076
1870	2385	4233
1871	2407	4219
1904	2453	4150
1863	2475	4123
1914	2416	4223
1995	2402	4053
1884	2453	4189
1861	2460	4141
1836	2405	4221
1965	2491	4088
1914	2436	4239
1865	2378	4283
1952	2423	4060
1940	2431	4109
1959	2399	4149
1906	2486	4132
1892	2506	4194
1956	2422	4123
1896	2491	4134
1945	2485	4121
1897	2371	4256
1943	2536	4094
1996	2449	4175
1944	2500	4190
1938	2477	4136
1911	2437	4201
1934	2513	4185
1971	2470	4192
1977	2446	4091
1982	2442	4153
1983	2482	4206
2016	2388	4238
2006	2440	4316
1940	2464	4234
1959	2356	4180
2045	2466	4268
1964	2361	4179
1955	2496	4120
1948	2475	4159
2020	2438	4268
1936	2472	4360
2000	2496	4101
1954	2418	4227
1964	2394	4096
2012	2471	4298
1938	2389	4210
1934	2460	4314
2032	2403	4190
1951	2381	4134
2011	2537	4203
1988	2475	4285
1938	2400	4217
2080	2407	4251
1928	2438	4225
2012	2561	4249
1958	2468	4220
1929	2503	4211
1951	2573	4187
2010	2454	4204
1948	2433	4268
2012	2456	4287
1978	2547	4201
1952	2411	4174
1912	2422	4300
1995	2437	4331
